who,text
am,Марті! Новий рекорд в Tetris! 847291!
am,АВТОМАТ ЗНОВ ЗЛАМАВСЯ допоможиииии
am,знайшов нову гру в коробці за автоматами. GOLD.
am,хтось з'їв мої чіпси. я знаю хто. КВІНСІ.
am,якщо побачиш блок живлення 12V — це мій. не чіпай.
am,Марті а ти грав в Space Invaders? треба обговорити
am,на футкорті є автомат з bubble tea. не кажи Аоі
am,лагоджу монітор. якщо побачиш іскри — все ок
am,скільки кнопок на геймпаді? 12. а скільки потрібно? 13. завжди 13.
am,прийди в аркади коли вільний. маю що показати
ao,Якщо шукаєш тишу — другий поверх. Нікого.
ao,23 журавлики сьогодні.
ao,знайшла платівку. хтось любив jazz. непогано.
ao,скутер майже готовий. потрібна свічка запалювання.
ao,на даху зірки. якщо не хмарно.
ao,не шуми коли проходиш повз музичний. будь ласка.
ao,сніг.
ao,якщо побачиш папір для орігамі — візьми. будь ласка.
ao,океан сниться. щоночі. не знаю чому.
ao,тихо сьогодні. добре.
qu,dont come to the range. cleaning. or do come idc
qu,850000 tetris. tell amir.
qu,bored. so bored. might shoot something.
qu,rain again. lovely.
qu,film tonight? 2nd floor. bring snacks.
qu,97.3 percent.
qu,oi marty. need ammo from storage. ta.
qu,who ate my sandwich. i will find out.
qu,woke up. thats the worst part.
qu,absolutely nothing happening. as usual.
lt,Не забудь промити рану.
lt,Каву. Будь ласка. Будь-яку.
lt,якщо болить — це нормально. якщо не болить — теж нормально. прийди на огляд.
lt,Квінсі знову в тирі без берушів. потім скаржиться на вуха. логіка.
lt,в медвідділі новий крем від опіків. не питай звідки.
lt,результати аналізів: всі живі. дивно.
lt,хтось залишив бинти в коридорі. заберіть.
lt,не їж з автомату після 22:00. серйозно.
lt,прийди коли вільний. треба перевірити шви.
lt,якщо побачиш щурів — не чіпай. вони мої піддослідні. жартую. або ні.
ar,Збори о 8. Без запізнень.
ar,Плов на вечерю. Не запізнюйся.
ar,Хто залишив зброю без чистки — 20 кіл по периметру.
ar,Звіти до обіду. Без винятків.
ar,Ключі від складу. Хто брав — поверніть.
ar,Амір. Гучність. Зменш.
ar,Патрулювання о 22. Добровольці?
ar,Дисципліна — це не обмеження. Це фундамент.
ar,Якщо є проблеми — до мене. Не один на один з проблемою.
ar,Перевір периметр 1-го поверху. Доповідь на стійку.
el,Я відчуваю що ти думаєш. Не переймайся.
el,Записи не систематизуються самі. Зайди якщо вільний.
el,тиша тут обманлива. вона думає.
el,бачила цікавий сон. розкажу потім. або ні.
el,рослини на другому поверсі ростуть. без сонця. дивно.
el,часом мені здається що мол дихає.
el,якщо побачиш записник з червоною обкладинкою — це мій.
el,закономірності. всюди. ти помічаєш?
el,не хвилюйся. я не читаю думки без дозволу. зазвичай.
el,книгарня. другий поверх. рекомендую Маркеса.
